,uuid,company,description,categories,location,country,continent,num_of_employees,website,Founded,Funding Rounds,Total Funding in USD,Funding Range,Funding Stage,Number Founders
0,01a2a666-577c-1673-eba6-74c02aaf2e80,Crowdcube,Crowdcube is an equity crowdfunding platform for entrepreneurs of start-ups and growing businesses.,"Business Development,Finance,Financial Services,FinTech,Funding Platform,Venture Capital","Exeter,Devon,United Kingdom,Europe",United Kingdom,Europe,51-100,https://www.crowdcube.com/,2010-08-01,12,44568167.0,35-45m,,4.0
1,2c1f42ac-94ed-c6ad-8881-cfacb63ccd08,Encantos,Encantos is an ed-tech company creating direct-to-consumer brands for kids powered by a subscription-led blended learning platform.,"Apps,Children,Consumer,Digital Entertainment,EBooks,Education,Subscription Service,Video","Culver City,California,United States,North America",United States,North America,51-100,http://www.encantosbrands.com,2016-01-01,3,8500000.0,5-15m,seed,4.0
2,3dfd8d9c-7480-79e8-a983-dcf1d0f8e1a5,Twitch,"Twitch is social video platform for gamers where more than 100 million gather every month to broadcast, watch and talk about video games.","Social Media,Video,Video Games,Video Streaming","San Francisco,California,United States,North America",United States,North America,251-500,https://www.twitch.tv/,2007-01-01,3,35000000.0,25-35m,m_and_a,6.0
3,8092160c-26ed-22fc-668a-9bdbb8af5c32,Aclima,Aclima delivers hyperlocal air quality data and insights to improve human and planetary health.,"Analytics,Enterprise Software,Location Based Services,Machine Learning,Network Hardware,Pollution Control,Sensor,Software","San Francisco,California,United States,North America",United States,North America,51-100,https://aclima.io,2007-01-01,2,64000000.0,55-65m,early_stage_venture,2.0
4,813b4633-dc4a-4985-86bd-1bcc4ce49378,Career Karma,Career Karma helps people find career advice and job training to navigate their careers.,"Career Planning,Social Network,Training","San Francisco,California,United States,North America",United States,North America,51-100,https://careerkarma.com/,2018-01-01,3,11937500.0,5-15m,early_stage_venture,3.0
5,d54872d6-3ac0-de9c-db23-4e6a386199af,Boston Dynamics,Boston Dynamics is an engineering company that specializes in building dynamic robots and software for human simulation.,"Artificial Intelligence,Hardware,Industrial Engineering,Robotics,Software","Waltham,Massachusetts,United States,North America",United States,North America,251-500,http://bostondynamics.com,1992-01-01,1,37000000.0,35-45m,m_and_a,1.0
6,70e9297e-c40a-5679-edcf-5287d6577ca2,Novartis,Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide.,"Biotechnology,Health Care,Medical,Pharmaceutical","Basel,Basel-Stadt,Switzerland,Europe",Switzerland,Europe,10001+,http://www.novartis.com,1996-01-01,1,,,ipo,3.0
7,2f9b212a-d3aa-a8c2-6317-516127c8ba88,Merck,Merck is a biopharmaceutical company that offers medicines and vaccines for various diseases.,"Biotechnology,Health Care,Medical,Pharmaceutical","Kenilworth,New Jersey,United States,North America",United States,North America,10001+,http://www.merck.com,1891-01-01,2,5586000.0,5-15m,ipo,1.0
8,a4b36e71-cc34-4ce0-97c2-a70b3a297dc2,Forethought,"Forethought builds artificially intelligent agents to supercharge enterprise workflows, starting with Agatha, the AI for Customer Support.","Artificial Intelligence,Customer Service,Enterprise Software,Knowledge Management,Machine Learning,Natural Language Processing,SaaS","San Francisco,California,United States,North America",United States,North America,51-100,https://www.forethought.ai,2017-09-01,3,27000000.0,25-35m,early_stage_venture,2.0
9,dcf152a1-23fc-6a0e-9a76-68c3fc2ec472,Bosch,The Bosch Group is a global supplier of technology and services.,"Automotive,Consumer Goods,Electronics,Industrial,Industrial Engineering,Information Technology,Manufacturing,Mechanical Engineering,Sensor","Stuttgart,Baden-Wurttemberg,Germany,Europe",Germany,Europe,10001+,http://www.bosch.com,1886-11-15,1,42000000.0,35-45m,,1.0
10,2758e9b2-774e-0406-ffc9-6b8650259bc9,Clever,Clever builds the platform for modern learning software after extracting student data from school legacy data systems.,"Big Data,Data Integration,EdTech,Education","San Francisco,California,United States,North America",United States,North America,101-250,https://clever.com,2012-01-01,4,43320000.0,35-45m,early_stage_venture,3.0
11,8c725124-83b2-cd3f-9af3-4117ac81f75b,Business Insider,"Business Insider is an online platform that offers the latest business, celebrity, and technology news.","Digital Media,News,Publishing","New York,New York,United States,North America",United States,North America,501-1000,http://www.businessinsider.com,2007-05-01,7,55600000.0,55-65m,m_and_a,2.0
12,874a32b1-b3ac-0041-b1a3-60fc8930a881,Railsbank,Railsbank is an open banking API and platform that gives regulated and un-regulated companies access to global banking.,"Banking,Developer APIs,Finance,Financial Services,FinTech,Payments,Software","London,England,United Kingdom,Europe",United Kingdom,Europe,251-500,http://www.railsbank.com,2016-01-01,7,51235147.0,45-55m,private_equity,2.0
13,5732f882-ce88-4954-eb91-1f5f65907e4b,ServiceNow,"ServiceNow provides cloud-based solutions that define, structure, manage, and automate services for enterprise operations.","Cloud Management,Enterprise Applications,Enterprise Software,IT Management,PaaS,SaaS,Software","Santa Clara,California,United States,North America",United States,North America,5001-10000,http://www.servicenow.com/,2004-01-01,6,83703892.0,75-85m,ipo,1.0
14,c0f4b909-9b3e-291f-bc1f-947cb4c64323,Pipedrive,Pipedrive is the first CRM platform developed from the salesperson’s point-of-view.,"CRM,Marketing Automation,SaaS,Sales Automation,Software","New York,New York,United States,North America",United States,North America,501-1000,https://www.pipedrive.com,2010-06-21,8,90203107.0,85-100m,m_and_a,5.0
15,cdc999ce-383d-e4ac-be1f-77fdd3ae6fdd,Arcus,"Arcus is a fintech-as-a-service platform, fueling smarter, faster, integrated, and more accessible financial services.","Financial Services,FinTech,Mobile,Mobile Payments","New York,New York,United States,North America",United States,North America,11-50,https://www.arcusfi.com/,2013-05-01,10,17900000.0,15-25m,,3.0
16,26374c80-2323-629a-7fd0-d7a69236e510,PubMatic,PubMatic is an automation solutions company for an open digital media industry.,"Advertising,Internet,Marketing Automation","Redwood City,California,United States,North America",United States,North America,501-1000,http://www.pubmatic.com,2006-10-01,6,63000000.0,55-65m,ipo,4.0
17,f1f88bbc-76d8-e8ee-2654-5081bdb1f74d,Indiegogo,Indiegogo is a crowdfunding platform empowering people around the world to fund projects that matter to them.,"Crowdfunding,Finance,FinTech,Funding Platform,Hedge Funds","San Francisco,California,United States,North America",United States,North America,101-250,http://www.indiegogo.com,2008-01-14,6,56500000.0,55-65m,,3.0
18,08fb213a-b9df-8412-840b-a2db3e49ec0f,Flutterwave,Flutterwave provides a payment service for global merchants and payment service providers.,"Developer APIs,FinTech,Payments,Software","San Francisco,California,United States,North America",United States,North America,11-50,https://www.flutterwave.com,2016-01-01,11,64693837.0,55-65m,early_stage_venture,2.0
19,0251bd4a-b6d1-a307-e00c-0137d11c8c44,UpGrad,UpGrad is an online higher education platform.,"Advertising,E-Learning,EdTech,Education","Mumbai,Maharashtra,India,Asia",India,Asia,251-500,https://upgrad.com,2015-03-01,1,,,,4.0
20,512b494a-f744-a134-1d43-fd4f36f629d8,Oculus,"Oculus develops virtual reality platforms and products, including Rift, that let people experience anything, with anyone.","Augmented Reality,Consumer Electronics,Hardware,Video Games,Virtual Reality,Virtualization","Menlo Park,California,United States,North America",United States,North America,501-1000,http://www.oculus.com,2012-07-06,5,95987429.0,85-100m,m_and_a,5.0
21,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,Google is a multinational corporation that specializes in Internet-related services and products.,"Ad Network,Blogging Platforms,Collaboration,Email,Enterprise Software,Information Technology,Search Engine,Software,Video Streaming","Mountain View,California,United States,North America",United States,North America,10001+,http://www.google.com/,1998-01-01,5,36100000.0,35-45m,ipo,6.0
22,3a5cafc7-3859-771c-e494-4bad0c141149,Sourcegraph,"Sourcegraph is a code search startup that makes it easier for developers to find code, which is scattered across systems.","Developer Platform,Developer Tools,Software","San Francisco,California,United States,North America",United States,North America,51-100,https://sourcegraph.com,2013-01-01,4,98000000.0,85-100m,late_stage_venture,2.0
23,cecdf1e4-1ad4-4606-a401-e974ebe3a2fb,Luko,Luko is a neo-insurance company that provides home insurance and security technology.,"Artificial Intelligence,Insurance,InsurTech,Internet of Things,Smart Home","Paris,Ile-de-France,France,Europe",France,Europe,11-50,https://www.getluko.com,2016-12-12,5,87438172.0,85-100m,early_stage_venture,2.0
24,ecbd1ea0-5cf6-0206-675a-f65e0d01f8e5,Cashfree,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Finance,Financial Services,FinTech,Mobile Payments,Payments","Bengaluru,Karnataka,India,Asia",India,Asia,101-250,http://www.cashfree.com,2015-07-01,3,40920000.0,35-45m,early_stage_venture,2.0
25,5fc24a1f-42c6-4409-a046-4aa3b407b881,HungryPanda,HungryPanda is a Chinese food and grocery delivery company with extensive market coverage.,"Delivery,E-Commerce,Food and Beverage,Food Delivery,Restaurants","London,England,United Kingdom,Europe",United Kingdom,Europe,101-250,http://www.hungrypanda.co,2016-05-12,2,90000000.0,85-100m,late_stage_venture,1.0
26,21c37378-96c4-b7a0-d170-8bc49c581d30,Crypto.com,Crypto.com is a pioneering payments and cryptocurrency platform.,"Bitcoin,Blockchain,Cryptocurrency,Ethereum,Financial Services,FinTech,Information Technology,Mobile Payments","Sai Wan,Hong Kong Island,Hong Kong,Asia",Hong Kong,Asia,101-250,http://www.crypto.com/,2016-06-01,1,26700000.0,25-35m,,4.0
27,6698c108-3f52-cb7f-178c-10e16b069822,Pipefy,"Pipefy specializes in the fields of process management, workflow, process automation, and task management.","Information Technology,SaaS,Sales Automation,Software,Task Management","San Francisco,California,United States,North America",United States,North America,251-500,http://www.pipefy.com,2013-01-01,5,63737500.0,55-65m,early_stage_venture,4.0
28,9941bfb0-2645-2e81-f137-e2aac3fa2e19,Stitch Fix,Stitch Fix is a personal styling platform that delivers curated and personalized apparel and accessory items for women.,"E-Commerce,Fashion,Retail","San Francisco,California,United States,North America",United States,North America,1001-5000,http://stitchfix.com,2011-01-01,5,79350773.0,75-85m,ipo,1.0
29,c83a7fe3-70f3-4bfd-bc72-cde5cdb15156,Firebolt,Firebolt has developed a cloud data warehousing platform that allows users to streamline their analytics and access to insights.,"Analytics,Big Data,Data Storage,SaaS,Software","Tel Aviv,Tel Aviv,Israel,Asia",Israel,Asia,11-50,https://www.firebolt.io,2019-01-01,1,37000000.0,35-45m,early_stage_venture,3.0
30,122013aa-f06f-1707-cb05-b36107f71dbb,Tibber,Tibber is a digital electricity supplier that uses AI to switch around power for houses based on their predicted levels of consumption.,"Apps,Customer Service,Energy,Energy Efficiency,Energy Management","Førde,Sogn og Fjordane,Norway,Europe",Norway,Europe,51-100,https://www.tibber.com/,2016-01-01,7,44652395.0,35-45m,early_stage_venture,2.0
31,69c47fc6-3d57-ee99-7d5f-33ef5a41b563,Salt Security,Salt Security provides an API protection platform designed to prevent attacks using machine learning and AI.,"Cloud Security,Cyber Security,Developer APIs,Network Security,Security","Palo Alto,California,United States,North America",United States,North America,11-50,https://salt.security/,2016-01-01,4,61000000.0,55-65m,early_stage_venture,2.0
32,01cf3526-0a6c-505f-6e77-4c3bea2a6f19,Gig Wage,Gig Wage is a fintech payroll company for gig workers and contractors.,"Banking,Compliance,Finance,FinTech,Freelance,Payments,SaaS,Small and Medium Businesses,Software","Dallas,Texas,United States,North America",United States,North America,1-10,http://gigwage.com,2014-06-01,4,10720000.0,5-15m,early_stage_venture,1.0
33,a58bea81-faa3-5a29-b99c-ed112a9dde41,Pave,"Pave provides real-time compensation transparency tools that track, measure, and communicate the total compensation of employees.","Analytics,Database,Employee Benefits,Enterprise Software,Information Services,Lending,Predictive Analytics,Software","San Francisco,California,United States,North America",United States,North America,11-50,https://www.pave.com,2019-10-01,2,16950000.0,15-25m,early_stage_venture,1.0
34,58a49f48-f049-1150-d215-51ee302ae0dd,Riot Games,Riot Games is a global company that develops online games.,"Computer,Developer Platform,PC Games,Video Games","Los Angeles,California,United States,North America",United States,North America,1001-5000,http://www.riotgames.com,2006-01-01,5,21000000.0,15-25m,m_and_a,2.0
35,2a0bcff5-ea83-be96-014f-5c55c0a3982d,Instana,Enterprise observability platform for modern Dev+Ops cloud-native microservices Application Performance Monitoring,"Application Performance Management,Enterprise Software,IT Infrastructure,Software","Chicago,Illinois,United States,North America",United States,North America,101-250,http://www.instana.com,2015-03-06,3,57000000.0,55-65m,m_and_a,4.0
36,12e185a3-6959-c804-2b13-26143272870d,Nearpod,Nearpod is a mobile app that enables teachers to create and share interactive multimedia presentations with their students.,"Education,Mobile Apps,Skill Assessment,Virtual Reality","Aventura,Florida,United States,North America",United States,North America,11-50,http://www.nearpod.com,2012-01-01,5,30700000.0,25-35m,early_stage_venture,3.0
37,be51f639-14c1-fde2-0e90-127b74c563a0,Omni,Omni is a marketplace that provides access to the things needed by nayone through its rentals platform.,"Apps,Marketplace,Mobile","San Francisco,California,United States,North America",United States,North America,51-100,https://omni.co,2014-08-01,4,35000000.0,25-35m,early_stage_venture,3.0
38,434126fa-977f-d10b-3a2f-b3ed230ea499,Streetbees,Streetbees is a human intelligence platform that collects and analyzes offline consumer behavior.,"Analytics,Artificial Intelligence,Machine Learning,Market Research,Natural Language Processing,Predictive Analytics","London,England,United Kingdom,Europe",United Kingdom,Europe,101-250,http://www.streetbees.com,2015-01-01,6,63800000.0,55-65m,early_stage_venture,2.0
39,23e145e5-f01e-44c1-929d-29c31de17ff1,Chipper Cash,Chipper Cash is a fintech platform that offers cross-border money transfer services through mobile.,"Financial Services,FinTech,Mobile Apps,Mobile Payments,Payments","San Francisco,California,United States,North America",United States,North America,51-100,https://www.chippercash.com/,2017-02-24,6,52200000.0,45-55m,early_stage_venture,2.0
40,0be10ce3-34a3-81cc-5e85-833dbaf80119,Shine,Shine is an award-winning self-care app and community for people with anxiety & depression.,"Consumer Software,Messaging,Mobile Apps,SMS,Wellness","New York,New York,United States,North America",United States,North America,11-50,http://www.shinetext.com/,2015-08-01,3,8250000.0,5-15m,early_stage_venture,2.0
